num,GC-cv-diameter/cm,working-electrode-area/cm,constant current/potential,E_onset,E_effect,Tafel_slope,metal,yield,reactivity
1,0.3,1.0*1.5*0.6,8 mA,1.066666667,1.451451451,0.35816419,Co,0.71,1
2,0.3,1.0*1.5*0.6,4 mA,0.315,1.743743744,0.292220102,Co,0.64,1
3,0.3,1.0*1.5*0.6,4 mA,0.644444444,1.099099099,2.156625228,Co,0.55,1
4,0.3,1.0*1.5*0.6,5 mA,0.84047619,0.642642643,0.893414254,Co,0.48,1
5,0.3,1.0*1.5*0.6,4 mA,0.585,0.446446446,1.685942576,Co,0.77,1
6,0.5,1.0*1.5*0.6,4 mA,0.347826087,0.418418418,0.435021721,Co,0.73,1
7,0.3,1.0*1.5*0.6,8 mA,-0.158333333,0.47047047,1.714768904,Ni,0.77,1
8,0.3,1.0*1.5*0.0125,4 mA,0.24,1.57957958,5.523004706,Ru,0.5,1
9,0.5,1.0*1.5*0.6,2 mA,0.765217391,0.770770771,0.855810168,Co,0.81,1
10,0.3,2.5*1.0*1.4,4 mA,0.15,0.234234234,-0.164139311,Ni,0.76,1
11,0.3,1.0*1.5*0.6,4 mA,1.36,1.411411411,1.197975769,Rh,0.25,0
12,0.3,1.0*1.5*0.6,4 mA,0.8,1.443443443,4.498905469,Co,0.27,1
13,0.3,1.0*1.5*0.6,8 mA,0.656470588,-0.47047047,0.189960935,Mn,0.56,1
14,0.3,1.0*1.0*0.6,4 mA,0.907692308,1.735735736,0.126200213,Rh,0.56,1
15,0.3,1.0*1.5*0.6,8 mA,0.025,0.622622623,0.215228395,Ni,0.73,1
16,0.3,1.0*1.5*0.6,4 mA,0.38,1.115115115,0.296074523,Rh,0.37,1
17,0.3,1.0*1.5*0.6,3 mA,0.648,1.255255255,1.165215418,Mn,0.7,1
18,0.3,1.0*1.5*0.6,10 mA,0.61509434,1.447447447,0.229734568,Ru,0.83,1
19,0.3,1.0*1.5*0.6,4 mA,0.3,0.382382382,0.69494329,Rh,0.39,1
20,0.3,1.0*1.5*0.6,5 mA,-0.288888889,0.894894895,-0.318653979,Fe,0.75,1
21,0.3,1.0*1.5*0.6,2 mA,0.464285714,0.538538539,0.104795164,Co,0.93,1
22,0.3,1.0*1.5,3 mA,0.3,0.406406406,0.091372498,Cu,0.92,1
23,0.3,1.0*1.5,3 mA,1.14,1.403403403,0.626170772,Cu,0,0
24,0.3,1.0*1.0,1.5 mA,1.794897959,1.827827828,0.110876786,Ir,0.2,1
25,0.3,1.0*1.0,3 mA,0.757142857,1.775775776,0.177219676,Cu,0.5,1
26,0.3,1.5*2.0*0.033,4 mA,0.662857143,0.850850851,0.131757872,Co,0.8,1
27,0.3,1.0*1.5*0.6,4 mA,-1.15,-1.327327327,-0.391914543,Ir,0.24,1
28,0.3,1.0*0.5*0.036,2 mA,0.173913043,1.087087087,0.421299352,Pd,0.92,1
29,0.3,1.0*1.5*0.6,1.5 V,1.073684211,1.5,0.757666307,Rh,0.83,1
30,0.3,3.14*0.6*8.0,4 mA,0.825882353,0.934934935,0.316838351,Ru,0.62,1
31,0.3,1.0*1.0,6 mA,0.453333333,1.875875876,0.90151511,Pd,0.78,1
32,0.3,5.5*1.3*0.05,5 mA,-1.266666667,-1.85985986,-0.209590327,Ni,0.81,1
33,0.3,3.14*0.6*8.0,1.0mA/3V AgAgCl,0.7,0.910910911,0.230597758,Ni,0.39,1
34,0.3,3.14*0.6*8.0,0.4 mA,0.328571429,0.034034034,0.356687563,Cu,0.71,1
35,0.3,2.0*3.0*0.0625,2 mA,0.52,0.474474474,0.727889151,Ni,0.56,1
36,0.3,3.14*0.6*8.0,1 mA,0.288888889,0.002002002,0.448462618,Ni,0.51,1
37,0.3,1.0*0.5*0.6,5mA/2.3V cell,1.195238095,1.671671672,0.146018365,Mn,0.82,1
38,0.3,1.0*0.5*0.6,2.3 V cell/8mA,1.079166667,1.675675676,0.204277358,Mn,0.9,1
39,0.3,1.0*0.5*0.6,2.3 V cell/40mA,0.884331797,0.934934935,0.139303831,Mn,0.9,1
40,0.3,1.0*1.5*0.6,2 mA,0.795833333,0.414414414,1.644548225,Co,0.75,1
41,0.3,3.14*0.6*8.0,1 mA,0.24375,0.314314314,3.338417527,Ni,0,0
42,0.3,1.0*0.5*0.6,5mA/2.3V cell,0.925,1.271271271,0.450757555,Mn,0.05,0
43,0.3,1.0*1.5*0.6,8 mA,0.816393443,1.111111111,0.055575916,Ni,0,0
44,0.3,1.5*2.5,6 mA,-0.916326531,-1.791791792,0.067052815,Ni,0.8,1
45,0.3,1.5*2.5,6 mA,-0.9,-1.983983984,-0.419180655,Ni,0.8,1
46,0.3,1.5*1.5*0.036,15 mA,0.677777778,1.987987988,0.632638497,Co,0.85,1
47,0.3,1.5*1.5*0.036,15 mA,0.5,1.983983984,0.450757555,Co,0.78,1
48,0.3,1.5*1.5*0.036,15 mA,0.735714286,1.675675676,0.34074237,Co,0.73,1
49,0.3,1.0*1.5*0.6,8 mA,0.616666667,1.8998999,0.509438247,Co,0.12,1
50,0.3,1.0*2.5*0.6,3.5 mA,0.58125,0.758758759,0.334900483,Ru,0.73,1
